ID,ID_episode,X,Y,VelX,VelY,Angle,AngularVel,ActionID,ResX,ResY,ResVelX,ResVelY,ResAngle,ResAngularVel,TotalReward
76,0,-0.22,0.44,-0.26,-1.18,-0.05,-0.06,1,-0.22,0.42,-0.27,-1.21,-0.05,-0.01,-103.42511437782834
77,0,-0.22,0.42,-0.27,-1.21,-0.05,-0.01,1,-0.22,0.39,-0.28,-1.24,-0.05,0.03,-103.42511437782834
78,0,-0.22,0.39,-0.28,-1.24,-0.05,0.03,2,-0.23,0.36,-0.26,-1.24,-0.05,0.04,-103.42511437782834
79,0,-0.23,0.36,-0.26,-1.24,-0.05,0.04,0,-0.23,0.33,-0.26,-1.26,-0.04,0.04,-103.42511437782834
80,0,-0.23,0.33,-0.26,-1.26,-0.04,0.04,2,-0.23,0.3,-0.27,-1.25,-0.04,0.03,-103.42511437782834
81,0,-0.23,0.3,-0.27,-1.25,-0.04,0.03,0,-0.23,0.28,-0.27,-1.28,-0.04,0.03,-103.42511437782834
82,0,-0.23,0.28,-0.27,-1.28,-0.04,0.03,2,-0.24,0.25,-0.26,-1.24,-0.04,0.04,-103.42511437782834
83,0,-0.24,0.25,-0.26,-1.24,-0.04,0.04,2,-0.24,0.22,-0.26,-1.23,-0.04,0.04,-103.42511437782834
84,0,-0.24,0.22,-0.26,-1.23,-0.04,0.04,1,-0.24,0.19,-0.27,-1.25,-0.03,0.08,-103.42511437782834
85,0,-0.24,0.19,-0.27,-1.25,-0.03,0.08,1,-0.24,0.16,-0.28,-1.28,-0.03,0.12,-103.42511437782834
86,0,-0.24,0.16,-0.28,-1.28,-0.03,0.12,3,-0.25,0.13,-0.27,-1.3,-0.02,0.08,-103.42511437782834
87,0,-0.25,0.13,-0.27,-1.3,-0.02,0.08,3,-0.25,0.1,-0.26,-1.33,-0.02,0.04,-103.42511437782834
88,0,-0.25,0.1,-0.26,-1.33,-0.02,0.04,1,-0.25,0.07,-0.27,-1.36,-0.02,0.07,-103.42511437782834
89,0,-0.25,0.07,-0.27,-1.36,-0.02,0.07,3,-0.25,0.04,-0.25,-1.38,-0.02,0.02,-103.42511437782834
90,0,-0.25,0.04,-0.25,-1.38,-0.02,0.02,1,-0.26,0.01,-0.27,-1.41,-0.01,0.07,-103.42511437782834
91,0,-0.26,0.01,-0.27,-1.41,-0.01,0.07,0,-0.26,-0.02,-0.27,-1.44,-0.01,0.07,-103.42511437782834
92,0,-0.26,-0.02,-0.27,-1.44,-0.01,0.07,1,-0.26,-0.05,-0.45,-0.92,0.09,5.05,-103.42511437782834
93,1,0.01,1.4,0.79,-0.45,-0.01,-0.18,1,0.02,1.39,0.78,-0.48,-0.02,-0.15,-98.26837204210962
94,1,0.02,1.39,0.78,-0.48,-0.02,-0.15,3,0.02,1.38,0.8,-0.5,-0.03,-0.2,-98.26837204210962
95,1,0.02,1.38,0.8,-0.5,-0.03,-0.2,0,0.03,1.37,0.8,-0.53,-0.04,-0.2,-98.26837204210962
96,1,0.03,1.37,0.8,-0.53,-0.04,-0.2,1,0.04,1.35,0.79,-0.56,-0.04,-0.15,-98.26837204210962
97,1,0.04,1.35,0.79,-0.56,-0.04,-0.15,1,0.05,1.34,0.78,-0.58,-0.05,-0.11,-98.26837204210962
98,1,0.05,1.34,0.78,-0.58,-0.05,-0.11,0,0.05,1.33,0.78,-0.61,-0.05,-0.11,-98.26837204210962
